User ID,Name,Phone,Date,Amount,Gender,Description,Address,Score,Email,EmptyCol
1, 张三,13800138000,2025/01/01,$100,男,<p>Good</p>,广东省 广州市,55,,
2,李 四 ,13912345678,2025-01-02,¥200.5,女,"Nice
Item",北京 北京市,65,user1@example.com,
3,王五,123,01-03-2025,300,M,Bad,上海 上海市,75,user2@example.com,
4,Zhao Liu,abc,2025.01.04,-50,F,OK,浙江省 杭州市,40,user3@example.com,
5,Mike ,13800138000,Invalid,0,Male,<h1>Title</h1>,江苏省 南京市,90,user4@example.com,
6,Sarah,,20250106,"1,000",Female,"Line1
Line2",四川省 成都市,85,,
7,Unknown,15900001111,2025-01-07,$50.00,未知,Normal,Unknown,30,user6@example.com,
8,User8,999,2025/1/8,N/A,男,<b>Bold</b>,海外,95,user7@example.com,
9, Test ,138 0000 0000,"Jan 9, 2025",Unknown,女,Test,广东省 深圳市,60,user8@example.com,
10,Alice,13800138000,2025-01-10,500,M,End,湖北省 武汉市,50,user9@example.com,
11, 张三,13800138000,2025/01/01,$100,男,<p>Good</p>,广东省 广州市,55,,
12,李 四 ,13912345678,2025-01-02,¥200.5,女,"Nice
Item",北京 北京市,65,user11@example.com,
13,王五,123,01-03-2025,300,M,Bad,上海 上海市,75,user12@example.com,
14,Zhao Liu,abc,2025.01.04,-50,F,OK,浙江省 杭州市,40,user13@example.com,
15,Mike ,13800138000,Invalid,0,Male,<h1>Title</h1>,江苏省 南京市,90,user14@example.com,
16,Sarah,,20250106,"1,000",Female,"Line1
Line2",四川省 成都市,85,,
17,Unknown,15900001111,2025-01-07,$50.00,未知,Normal,Unknown,30,user16@example.com,
18,User8,999,2025/1/8,N/A,男,<b>Bold</b>,海外,95,user17@example.com,
19, Test ,138 0000 0000,"Jan 9, 2025",Unknown,女,Test,广东省 深圳市,60,user18@example.com,
20,Alice,13800138000,2025-01-10,500,M,End,湖北省 武汉市,50,user19@example.com,
21, 张三,13800138000,2025/01/01,$100,男,<p>Good</p>,广东省 广州市,55,,
22,李 四 ,13912345678,2025-01-02,¥200.5,女,"Nice
Item",北京 北京市,65,user21@example.com,
23,王五,123,01-03-2025,300,M,Bad,上海 上海市,75,user22@example.com,
24,Zhao Liu,abc,2025.01.04,-50,F,OK,浙江省 杭州市,40,user23@example.com,
25,Mike ,13800138000,Invalid,0,Male,<h1>Title</h1>,江苏省 南京市,90,user24@example.com,
26,Sarah,,20250106,"1,000",Female,"Line1
Line2",四川省 成都市,85,,
27,Unknown,15900001111,2025-01-07,$50.00,未知,Normal,Unknown,30,user26@example.com,
28,User8,999,2025/1/8,N/A,男,<b>Bold</b>,海外,95,user27@example.com,
29, Test ,138 0000 0000,"Jan 9, 2025",Unknown,女,Test,广东省 深圳市,60,user28@example.com,
30,Alice,13800138000,2025-01-10,500,M,End,湖北省 武汉市,50,user29@example.com,
31, 张三,13800138000,2025/01/01,$100,男,<p>Good</p>,广东省 广州市,55,,
32,李 四 ,13912345678,2025-01-02,¥200.5,女,"Nice
Item",北京 北京市,65,user31@example.com,
33,王五,123,01-03-2025,300,M,Bad,上海 上海市,75,user32@example.com,
34,Zhao Liu,abc,2025.01.04,-50,F,OK,浙江省 杭州市,40,user33@example.com,
35,Mike ,13800138000,Invalid,0,Male,<h1>Title</h1>,江苏省 南京市,90,user34@example.com,
36,Sarah,,20250106,"1,000",Female,"Line1
Line2",四川省 成都市,85,,
37,Unknown,15900001111,2025-01-07,$50.00,未知,Normal,Unknown,30,user36@example.com,
38,User8,999,2025/1/8,N/A,男,<b>Bold</b>,海外,95,user37@example.com,
39, Test ,138 0000 0000,"Jan 9, 2025",Unknown,女,Test,广东省 深圳市,60,user38@example.com,
40,Alice,13800138000,2025-01-10,500,M,End,湖北省 武汉市,50,user39@example.com,
41, 张三,13800138000,2025/01/01,$100,男,<p>Good</p>,广东省 广州市,55,,
42,李 四 ,13912345678,2025-01-02,¥200.5,女,"Nice
Item",北京 北京市,65,user41@example.com,
43,王五,123,01-03-2025,300,M,Bad,上海 上海市,75,user42@example.com,
44,Zhao Liu,abc,2025.01.04,-50,F,OK,浙江省 杭州市,40,user43@example.com,
45,Mike ,13800138000,Invalid,0,Male,<h1>Title</h1>,江苏省 南京市,90,user44@example.com,
46,Sarah,,20250106,"1,000",Female,"Line1
Line2",四川省 成都市,85,,
47,Unknown,15900001111,2025-01-07,$50.00,未知,Normal,Unknown,30,user46@example.com,
48,User8,999,2025/1/8,N/A,男,<b>Bold</b>,海外,95,user47@example.com,
